"start","end","keyword","hits","location"
2015-12-20,2015-12-26,"Amedeo Modigliani",7,"World"
2015-12-27,2016-01-02,"Amedeo Modigliani",16,"World"
2016-01-03,2016-01-09,"Amedeo Modigliani",9,"World"
2016-01-10,2016-01-16,"Amedeo Modigliani",16,"World"
2016-01-17,2016-01-23,"Amedeo Modigliani",17,"World"
2016-01-24,2016-01-30,"Amedeo Modigliani",18,"World"
2016-01-31,2016-02-06,"Amedeo Modigliani",19,"World"
2015-01-04,2015-01-10,"Jean-Michel Basquiat",61,"World"
2015-01-11,2015-01-17,"Jean-Michel Basquiat",33,"World"
2015-01-18,2015-01-24,"Jean-Michel Basquiat",40,"World"
2015-01-25,2015-01-31,"Jean-Michel Basquiat",41,"World"
2015-02-01,2015-02-07,"Jean-Michel Basquiat",44,"World"
2015-02-08,2015-02-14,"Jean-Michel Basquiat",77,"World"
2015-02-15,2015-02-21,"Jean-Michel Basquiat",54,"World"
2015-02-22,2015-02-28,"Jean-Michel Basquiat",46,"World"
2015-03-01,2015-03-07,"Jean-Michel Basquiat",64,"World"
2015-03-08,2015-03-14,"Jean-Michel Basquiat",100,"World"
